description,patient
Writer - journalism,331
Heavy labourer NOS,332
Insurance underwriter,333
Architect - buildings,340
Market research analyst,340
Hospital consultant,341
Refuse collector/dustman,341
Road transport occupation,342
Translator,343
Finance/investment specialist NOS,347
No longer a carer,348
Painters/product assemblers,351
Porter,352
Civil/structural engineers,352
Singer,354
School nurse,355
Transport manager,357
Care manager,358
Aeroplane pilot,359
Spray painter,363
Radiologist,364
Manager - branch retail shop,367
University professor,369
Director - large company,373
Other labourer NOS,375
Psychiatrist,379
Electrical installer/maintainer,379
Property manager,379
Personnel manager,380
Electrical engineer - general,380
Accountant trainee,381
Ophthalmic optician,385
Contracts manager,385
Other makers/repairers,390
Retail store/shop manager NOS,390
Research associate,391
Personnel officer,391
Building surveyor,394
Store manager,396
Probation officer,398
Food counter hands/dispensers,401
Pharmacist NOS,401
Secondary teacher NOS,404
Groundsman,406
Labourer NOS,407
Correspondence clerk,407
Retail pharmacist,410
Other sales rep. NOS,414
Sports coach,415
Social caseworker (general),419
Teacher - infant class,422
Technical sales representative,425
Nurse practitioner,426
Catering supervisor,426
Office manager - sales,435
Textile sewing machinist,438
Hotel manager,439
Domestic helper,441
Packager - product,443
Train driver,445
Barrister,455
Care Programme Approach key worker,456
Supporting services personnel,457
Production engineer,459
Dancer,466
Hotel receptionist,468
Sports instructor,469
Barmen/barmaids,470
Medical radiographer,471
Other service occupations,471
Production manager,471
Nursing occupations (& [midwife] or [nurs,473
Florist,474
Engineering machiner,475
Authors/writers/journalists,476
Caretaker,482
Chef - plain fare,486
Management support NOS,488
Ladies' hairdresser,491
Barber,501
Nursing sister/charge nurse,502
Triage nurse,504
Local government officer,506
Book keeper,510
Administrative healthcare staff,511
Language interpreter,512
Speech and language therapist,519
Ambulanceman,522
Telephonist,529
Clinic nurse,532
Nursing occupations NOS,532
Care Programme Approach care co-ordinator,533
Construction manager,538
Head chef,547
Secretaries: shorthand/typing,548
Civil engineer - general,549
Catering/hotel/pub manager,552
Retail shop check-out operator,552
Laboratory technician,554
Hairdressers/beauticians,555
Motor car driver,556
Industrial designer,556
Policeman NOS,556
Psychologist,557
Interior decoration designer,559
Other machinery/plant work,560
Decorator,561
Driving instructor,563
Secretary - professional body,564
Electrician - premises/ships,579
Au pair,580
Finance clerk,582
Local government officer NOS,583
Buyer,584
Writer,586
Top manager - business,590
Shop manager,595
Scaffolder,599
Librarian,599
Catering manager,606
Senior civil servant,608
Metal/electrical worker,611
Receptionist NOS,615
Office manager - general,621
Costing/accounting clerk,625
Production electrician,631
Electrical worker,634
Optician,640
Insurance broker,644
Painter,645
Domestic helpers/maids,646
Member of armed forces,648
Insurance clerk,649
Teacher - junior class,653
Musical composers/choreographers,653
Housing manager,654
Fitters/maintainers/mechanics,655
Mechanical engineer - general,656
Maintenance technician,656
Other top managers,656
Child minder,658
Driver - light goods,665
Mental health nurse,665
Accounting clerk,671
Primary teacher NOS,674
Medical secretary,695
Minister of religion,701
Other general clerks,702
Electrical engineer,716
Kitchen porter,719
Window cleaner,724
Other health occupations,728
Dietitian,734
Registered nurse,737
Actor,739
Builder's labourer,742
Air steward,755
Working housekeeper,756
Other sales representatives,763
Further education teacher,772
Supervisor NOS,777
Quantity surveyor,778
Welfare occupations,781
Roofer,783
Education profession,799
Waiters/waitresses,801
Other health professional,802
Welder - skilled,806
Photographer,818
Health services receptionist,818
Company secretary,820
Warehouse manager,823
Computer operations manager,823
Machine tool operator,827
Other labourers/general hands,833
General printer,854
Systems analyst/computer programmer,861
Farm worker - general,862
Travel agent,869
Packer - food/garden produce,880
Marketing executive,881
Office manager - accounts,883
Other regular care provider,892
Fireman,894
District nurse,898
Shopkeeper,906
Landscape gardener,929
Law occupations,933
Farming/fishing occupations,935
Surveyor,946
Product inspectors/packagers,956
Top: [managers] or [administrators],989
Pharmacy technician,990
Baker,990
Bank branch manager,991
Bus/coach driver,993
Restaurant manager,1015
Beautician,1035
Finance/investment/insurance clerk,1055
General/other engineer NOS,1060
Welder,1064
Architect,1068
Secretary typist,1102
Materials processors excluding metal,1109
Systems analyst,1125
Civil engineer,1126
General/other engineers,1129
Journalist,1130
Electrical/electronic engineer,1133
Butcher,1136
Literary/artistic/sports occupation,1158
Catering services occupation,1163
General clerk,1190
Veterinarian,1190
Estate agent,1206
Salesman/shop assistant NOS,1218
Nursing auxiliary,1218
Education/welfare/health NOS,1219
Healthcare professional,1230
Marketing/sales executives,1241
Occupational therapist,1247
Plasterer,1251
Bank cashier,1256
Gardener,1268
Other manager NOS,1268
Retail shop manager,1271
Sales representative,1283
Prison officer,1286
Security guard,1291
Sales executive,1305
Finance specialist,1308
Bank clerk,1335
Making/repairing excluding metal/electric,1339
Kitchen assistant,1367
(Prof: [engin] &/or [technolog]) &/or (sc,1369
Other teachers/instructors,1382
Accountant manager,1382
Other clerical occupations,1387
Carpenter/joiner - general,1396
Dental nurse,1403
Midwife,1445
Farmer,1448
Computer operator,1468
Dentist,1484
Artist,1487
Sales supervisor,1490
Graphic designer,1500
Managing director,1500
Socio-economic status,1510
Construction/mining workers,1511
Security officer,1515
Supervisor,1518
Other managers,1520
Bricklayer,1522
Police constable,1523
Publican,1536
Barman,1565
Construction worker,1578
Company sales manager,1595
Housekeeper - domestic,1598
General manager,1608
Informal carer,1612
Management consultant,1628
Cook,1638
School teacher,1639
Manager - unspecified,1646
Joiner,1656
Practice nurse,1679
Scientist,1689
Nanny,1692
Fork-lift truck driver,1725
Student nurse,1731
Barmaid,1739
Mechanical engineer,1764
Finance/investment specialists,1767
Bus driver,1779
Other teacher NOS,1787
Personal assistant,1820
General builder,1821
Marketing manager,1821
Retail shop cashier,1830
Motor vehicle mechanic,1884
Retail store/shop manager,1904
Light goods vehicle driver,1908
House husband,1951
Painter/decorator,1962
Secondary school teacher,1980
Secondary teacher,1992
Pharmacist,2005
Physiotherapist,2173
Office manager,2218
University academic staff,2284
General engineer,2299
Postman,2304
Security/protective services,2323
Primary carer,2360
Nursing occupations,2405
Top manager,2424
Plumber,2462
Administrator - top,2467
Waiter,2471
Primary teacher,2474
University lecturer,2547
Translator/interpreter,2553
Computer engineer,2577
Vehicle driver,2675
Cooks/chefs,2724
Salesman,2725
Secretary,2759
Social worker,2857
Carpenter,2902
Labourer,2908
Computer programmer,3253
Nursery nurse,3306
Transporting/moving/storing,3415
(Educ/welf/hlth prof.)(teacher[&head])(ed,3466
Engineer - professional,3547
Taxi driver,3701
Police officer,3705
General medical practitioner,3968
Interpreter,4052
Solicitor,4223
Health care assistant,4310
Professional scientist/engineer/technolog,4342
Hairdresser,4371
Staff nurse,4572
Waitress,4651
Salesmen/shop assistants,4653
Receptionist,4747
Civil servant,4820
Care assistant,4846
Never had paid employment/long-term unemp,4868
Company director,5700
Builder,5856
Other science/engineering/technology,6107
Health visitor,6135
Factory worker NOS,6265
Catering/personal services,6501
Medical practitioner,6840
Nurse,6906
Other science/engineering/technology NOS,7060
Homemaker,7276
Heavy goods vehicle driver,7704
Chef,8620
Shop assistant,9224
Cleaner,10286
Accountant,10393
Warehouseman,11311
Education/welfare/health professions,12089
Selling occupation,12669
Management support professions,13669
Factory worker,14656
Managerial occupation,15768
Teacher,19961
Other occupations NOS,21636
Clerical occupations,21788
Carer,45779
Housewife,77530
